"AD_Dcerpc_services"
"AOL_Messenger"
"Authenticated"
"CIFS"
"Citrix_metaFrame"
"DAIP_Control_services"
"daytime"
"Direct_Connect"
"discard"
"dns"
"echo"
"eDonkey"
"Entrust-CA"
"FreeTel-outgoing"
"FW1_clntauth"
"GNUtella"
"Hotline"
"icmp-requests"
"Integrity_Server"
"IPSEC"
"IPv6_group"
"irc"
"kerberos"
"Messenger_Applications"
"MS-SQL"
"MSExchange"
"MSExchange-2000"
"MSExchange-RemoteAdmin"
"MSExchange-SiteConnector"
"MSExchange_2007"
"MSN_Messenger"
"Napster"
"NBT"
"NetMeeting"
"NFS"
"NIS"
"ntp"
"OAS"
"Orbix"
"P2P_File_Sharing_Applications"
"pcANYWHERE"
"pcTELECOMMUTE"
"PPTP"
"RainWall-Control"
"RealPlayer"
"securid"
"sqlnet2"
"StoneBeat"
"time"
"Trojan_Services"
"Yahoo_Messenger"
"Mail"
