MS-ISMSERV,MS-RPC,68dcd486-669e-11d1-ab0c-00c04fc2dcd2
MS-ISMSERV,MS-RPC,130ceefb-e466-11d1-b78b-00c04fa32883
MS-MESSENGER,MS-RPC,17fdd703-1827-4e34-79d4-24a55c53bb37
MS-MESSENGER,MS-RPC,5a7b91f8-ff00-11d0-a9b2-00c04fb6e6fc
MS-MQQM,MS-RPC,fdb3a030-065f-11d1-bb9b-00a024ea5525 
MS-MQQM,MS-RPC,76d12b80-3467-11d3-91ff-0090272f9ea3
MS-MQQM,MS-RPC,1088a980-eae5-11d0-8d9b-00a02453c337
MS-MQQM,MS-RPC,5b5b3580-b0e0-11d1-b92d-0060081e87f0
MS-MQQM,MS-RPC,41208ee0-e970-11d1-9b9e-00e02c064c39
MS-NETLOGON,MS-RPC,12345678-1234-abcd-ef00-01234567cffb
MS-RPC-EPM,UDP,135
MS-RPC-EPM,TCP,135
MS-SCHEDULER,MS-RPC,1ff70682-0a51-30e8-076d-740be8cee98b
MS-SCHEDULER,MS-RPC,378e52b0-c0a9-11cf-822d-00aa0051e40f
MS-SCHEDULER,MS-RPC,0a74ef1c-41a4-4e06-83ae-dc74fb1cdd53
MS-SQL,TCP,1433
MS-WIN-DNS,MS-RPC,50abc2a4-574d-40b3-9d66-ee4fd5fba076
MS-WINS,MS-RPC,45f52c28-7f9f-101a-b52b-08002b2efabe
MS-WINS,MS-RPC,811109bf-a4e1-11d1-ab54-00a0c91e9b45
MS-WMIC,MS-RPC,a9e69610-b80d-11d0-b9b9-00a0c922e750
MS-WMIC,MS-RPC,f309ad18-d86a-11d0-a075-00c04fb68820
MS-WMIC,MS-RPC,29822ab8-f302-11d0-9953-00c04fd919c1
MS-WMIC,MS-RPC,8bc3f05e-d86b-11d0-a075-00c04fb68820
MSN,TCP,1863
NBDS,UDP,138
NBNAME,UDP,137
NetMeeting,TCP,1720
NetMeeting,TCP,1503
NetMeeting,TCP,389
NetMeeting,TCP,522
NetMeeting,TCP,1731
NetMeeting,UDP,1719
NFS,UDP,111
NFS,TCP,111
NFS,UDP,2049
NFS,TCP,2049
NNTP,TCP,119
NS Global,TCP,15397
NS Global,UDP,15397
NS Global PRO,TCP,15397
NS Global PRO,UDP,15397
NS Global PRO,TCP,15400-15403
NSM,UDP,69
NSM,TCP,7204
NSM,TCP,7800
NSM,TCP,11122
NSM,TCP,15400
NTP,UDP,123
NTP,TCP,123
OSPF,OTHER,89
PC-Anywhere,UDP,5632
PC-Anywhere,UDP,22
PC-Anywhere,TCP,5631
PING,ICMP,8,0
POP3,TCP,110
PPTP,TCP,1723
RADIUS,UDP,1812-1813
Real Media,TCP,7070
Real Media,TCP,554
REXEC,TCP,512
RIP,UDP,520
RLOGIN,TCP,513
RSH,TCP,514
RTSP,TCP,554
SCCP,TCP,2000
SCTP-ANY,OTHER,132
SIP,UDP,5060
SIP,TCP,5060
SMB,TCP,139
SMB,TCP,445
SMTP,TCP,25
SNMP,UDP,161
SNMP,TCP,161
SNMP,TCP,162
SNMP,UDP,162
SQL Monitor,UDP,1434
SQL*Net V1,TCP,1525
SQL*Net V2,TCP,1521
SSH,TCP,22
SUN-RPC-MOUNTD,SUN-RPC,100005
SUN-RPC-NFS,SUN-RPC,100003
SUN-RPC-NFS,SUN-RPC,100227
SUN-RPC-NLOCKMGR,SUN-RPC,100021
SUN-RPC-PORTMAPPER,UDP,111
SUN-RPC-PORTMAPPER,TCP,111
SUN-RPC-RQUOTAD,SUN-RPC,100011
SUN-RPC-RSTATD,SUN-RPC,100001
SUN-RPC-RUSERD,SUN-RPC,100002
SUN-RPC-SADMIND,SUN-RPC,100232
SUN-RPC-SPRAYD,SUN-RPC,100012
SUN-RPC-STATUS,SUN-RPC,100024
